"","Time","Price","Size","cum_volume","ppt"
"377",2018-12-17 10:15:38,29.1,22050,22050,1.37
"376",2018-12-17 10:16:27,29.1,500,22550,0.03
"375",2018-12-17 10:17:12,29.2,2000,24550,0.12
"374",2018-12-17 10:18:11,29.1,100,24650,0.01
"373",2018-12-17 10:18:51,29.1,170,24820,0.01
"372",2018-12-17 10:18:58,29.1,800,25620,0.05
"371",2018-12-17 10:19:17,29.15,20,25640,0
"370",2018-12-17 10:20:40,29.05,2600,28240,0.16
"369",2018-12-17 10:21:38,29.05,2000,30240,0.12
"368",2018-12-17 10:22:01,29.05,4700,34940,0.29
"367",2018-12-17 10:22:07,29.05,100,35040,0.01
"366",2018-12-17 10:22:39,29.1,150,35190,0.01
"365",2018-12-17 10:22:54,29.1,70,35260,0
"364",2018-12-17 10:23:13,29.1,780,36040,0.05
"363",2018-12-17 10:24:10,29.1,10,36050,0
"362",2018-12-17 10:24:17,29.05,3380,39430,0.21
"361",2018-12-17 10:24:26,29.05,1620,41050,0.1
"360",2018-12-17 10:24:38,29.05,150,41200,0.01
"359",2018-12-17 10:25:30,29.05,3060,44260,0.19
"358",2018-12-17 10:25:52,29.05,500,44760,0.03
"357",2018-12-17 10:27:25,29.05,10000,54760,0.62
"356",2018-12-17 10:27:29,29.1,500,55260,0.03
"355",2018-12-17 10:28:36,29.1,10,55270,0
"354",2018-12-17 10:29:15,29.1,500,55770,0.03
"353",2018-12-17 10:29:20,29.05,10,55780,0
"352",2018-12-17 10:29:39,29.05,1000,56780,0.06
"351",2018-12-17 10:30:22,29.05,10,56790,0
"350",2018-12-17 10:31:09,29.05,200,56990,0.01
"349",2018-12-17 10:31:31,29.05,300,57290,0.02
"348",2018-12-17 10:31:53,29.05,3810,61100,0.24
"347",2018-12-17 10:31:58,29.05,15000,76100,0.93
"346",2018-12-17 10:32:10,29.05,3890,79990,0.24
"345",2018-12-17 10:32:18,29.05,4110,84100,0.26
"344",2018-12-17 10:32:23,29.05,890,84990,0.06
"343",2018-12-17 10:32:35,29.05,110,85100,0.01
"342",2018-12-17 10:32:36,29.05,900,86000,0.06
"341",2018-12-17 10:32:39,29.05,750,86750,0.05
"340",2018-12-17 10:32:49,29,4500,91250,0.28
"339",2018-12-17 10:32:50,29,4000,95250,0.25
"338",2018-12-17 10:34:57,29,300,95550,0.02
"337",2018-12-17 10:35:17,29.05,100,95650,0.01
"336",2018-12-17 10:35:25,29,500,96150,0.03
"335",2018-12-17 10:36:49,29,800,96950,0.05
"334",2018-12-17 10:38:35,29,30,96980,0
"333",2018-12-17 10:39:17,29.05,200,97180,0.01
"332",2018-12-17 10:39:22,29.05,1000,98180,0.06
"331",2018-12-17 10:39:29,29.05,1920,100100,0.12
"330",2018-12-17 10:40:32,29.1,1000,101100,0.06
"329",2018-12-17 10:41:08,29.1,330,101430,0.02
"328",2018-12-17 10:41:33,29.1,17850,119280,1.11
"327",2018-12-17 10:41:48,29.1,20,119300,0
"326",2018-12-17 10:42:00,29.1,1200,120500,0.07
"325",2018-12-17 10:42:09,29.15,30,120530,0
"324",2018-12-17 10:42:22,29.1,700,121230,0.04
"323",2018-12-17 10:42:28,29.1,1000,122230,0.06
"322",2018-12-17 10:42:56,29.15,1060,123290,0.07
"321",2018-12-17 10:43:39,29.1,3000,126290,0.19
"320",2018-12-17 10:44:31,29.1,150,126440,0.01
"319",2018-12-17 10:45:31,29.1,100,126540,0.01
"318",2018-12-17 10:45:36,29.1,80,126620,0
"317",2018-12-17 10:45:40,29.1,50,126670,0
"316",2018-12-17 10:46:16,29.1,100,126770,0.01
"315",2018-12-17 10:47:20,29.1,110,126880,0.01
"314",2018-12-17 10:47:40,29.15,1000,127880,0.06
"313",2018-12-17 10:47:46,29.1,20,127900,0
"312",2018-12-17 10:49:13,29.1,250,128150,0.02
"311",2018-12-17 10:51:21,29.15,160,128310,0.01
"310",2018-12-17 10:51:44,29.15,3580,131890,0.22
"309",2018-12-17 10:52:02,29.15,500,132390,0.03
"308",2018-12-17 10:52:22,29.15,1500,133890,0.09
"307",2018-12-17 10:52:37,29.15,1650,135540,0.1
"306",2018-12-17 10:52:45,29.15,500,136040,0.03
"305",2018-12-17 10:53:01,29.15,2000,138040,0.12
"304",2018-12-17 10:53:20,29.15,2860,140900,0.18
"303",2018-12-17 10:54:09,29.2,50,140950,0
"302",2018-12-17 10:54:52,29.2,13420,154370,0.84
"301",2018-12-17 10:55:01,29.2,1200,155570,0.07
"300",2018-12-17 10:55:09,29.2,1800,157370,0.11
"299",2018-12-17 10:55:11,29.25,2600,159970,0.16
"298",2018-12-17 10:55:50,29.2,200,160170,0.01
"297",2018-12-17 10:56:26,29.25,7000,167170,0.44
"296",2018-12-17 10:56:28,29.2,1000,168170,0.06
"295",2018-12-17 10:57:09,29.2,90,168260,0.01
"294",2018-12-17 10:58:38,29.2,2490,170750,0.16
"293",2018-12-17 11:00:09,29.15,300,171050,0.02
"292",2018-12-17 11:01:23,29.2,10,171060,0
"291",2018-12-17 11:01:33,29.2,500,171560,0.03
"290",2018-12-17 11:02:06,29.2,20,171580,0
"289",2018-12-17 11:02:49,29.15,10,171590,0
"288",2018-12-17 11:03:04,29.15,20,171610,0
"287",2018-12-17 11:04:14,29.15,8640,180250,0.54
"286",2018-12-17 11:04:17,29.15,1000,181250,0.06
"285",2018-12-17 11:04:23,29.15,100,181350,0.01
"284",2018-12-17 11:07:55,29.15,400,181750,0.02
"283",2018-12-17 11:07:56,29.15,1700,183450,0.11
"282",2018-12-17 11:08:27,29.2,10000,193450,0.62
"281",2018-12-17 11:09:04,29.2,1810,195260,0.11
"280",2018-12-17 11:09:06,29.2,1540,196800,0.1
"279",2018-12-17 11:09:10,29.15,500,197300,0.03
"278",2018-12-17 11:09:26,29.2,10,197310,0
"277",2018-12-17 11:10:03,29.2,8170,205480,0.51
"276",2018-12-17 11:11:32,29.2,500,205980,0.03
"275",2018-12-17 11:12:22,29.2,3130,209110,0.2
"274",2018-12-17 11:12:29,29.2,510,209620,0.03
"273",2018-12-17 11:18:51,29.15,3000,212620,0.19
"272",2018-12-17 11:19:27,29.15,490,213110,0.03
"271",2018-12-17 11:19:44,29.15,23720,236830,1.48
"270",2018-12-17 11:20:26,29.15,3380,240210,0.21
"269",2018-12-17 11:20:39,29.15,2000,242210,0.12
"268",2018-12-17 11:23:07,29.15,500,242710,0.03
"267",2018-12-17 11:26:43,29.15,2000,244710,0.12
"266",2018-12-17 11:27:00,29.15,1170,245880,0.07
"265",2018-12-17 11:29:02,29.15,800,246680,0.05
"264",2018-12-17 11:29:04,29.15,5000,251680,0.31
"263",2018-12-17 11:29:59,29.1,3000,254680,0.19
"262",2018-12-17 11:30:51,29.15,2000,256680,0.12
"261",2018-12-17 11:31:18,29.15,5000,261680,0.31
"260",2018-12-17 11:31:24,29.15,1000,262680,0.06
"259",2018-12-17 11:32:36,29.1,200,262880,0.01
"258",2018-12-17 11:33:07,29.1,5000,267880,0.31
"257",2018-12-17 11:33:08,29.1,2500,270380,0.16
"256",2018-12-17 11:33:11,29.1,150,270530,0.01
"255",2018-12-17 11:33:14,29.1,7000,277530,0.44
"254",2018-12-17 11:33:16,29.1,4070,281600,0.25
"253",2018-12-17 11:33:44,29.05,7000,288600,0.44
"252",2018-12-17 11:35:08,29.05,800,289400,0.05
"251",2018-12-17 11:35:41,29.1,210,289610,0.01
"250",2018-12-17 11:35:45,29.1,8000,297610,0.5
"249",2018-12-17 11:35:53,29.1,1330,298940,0.08
"248",2018-12-17 11:36:35,29.1,1500,300440,0.09
"247",2018-12-17 11:37:15,29.05,20000,320440,1.25
"246",2018-12-17 11:37:27,29.05,100,320540,0.01
"245",2018-12-17 11:38:07,29.05,10100,330640,0.63
"244",2018-12-17 11:38:59,29.05,12590,343230,0.78
"243",2018-12-17 11:40:06,29.05,11300,354530,0.7
"242",2018-12-17 11:40:13,29.05,1110,355640,0.07
"241",2018-12-17 11:40:52,29.05,300,355940,0.02
"240",2018-12-17 11:41:11,29.05,160,356100,0.01
"239",2018-12-17 11:41:24,29.05,500,356600,0.03
"238",2018-12-17 11:42:16,29.05,160,356760,0.01
"237",2018-12-17 11:42:17,29.05,150,356910,0.01
"236",2018-12-17 11:42:23,29.05,920,357830,0.06
"235",2018-12-17 11:42:28,29.05,1200,359030,0.07
"234",2018-12-17 11:42:53,29,50000,409030,3.12
"233",2018-12-17 11:42:59,29,2890,411920,0.18
"232",2018-12-17 11:43:00,29,5000,416920,0.31
"231",2018-12-17 11:43:03,29.05,30,416950,0
"230",2018-12-17 11:43:43,29.05,20000,436950,1.25
"229",2018-12-17 11:44:24,29.05,400,437350,0.02
"228",2018-12-17 11:47:32,29.1,10000,447350,0.62
"227",2018-12-17 11:55:00,29.05,1000,448350,0.06
"226",2018-12-17 11:56:10,29.05,26000,474350,1.62
"225",2018-12-17 11:58:41,29.05,20,474370,0
"224",2018-12-17 11:59:16,29.05,6000,480370,0.37
"223",2018-12-17 12:01:12,29.05,100,480470,0.01
"222",2018-12-17 12:02:11,29.1,500,480970,0.03
"221",2018-12-17 12:02:45,29.1,5000,485970,0.31
"220",2018-12-17 12:02:53,29.1,1000,486970,0.06
"219",2018-12-17 12:03:19,29.1,500,487470,0.03
"218",2018-12-17 12:03:25,29.1,60,487530,0
"217",2018-12-17 12:04:03,29.1,7390,494920,0.46
"216",2018-12-17 12:04:06,29.1,12000,506920,0.75
"215",2018-12-17 12:05:34,29.1,4000,510920,0.25
"214",2018-12-17 12:06:29,29.1,280,511200,0.02
"213",2018-12-17 12:07:15,29.1,70,511270,0
"212",2018-12-17 12:07:30,29.1,140,511410,0.01
"211",2018-12-17 12:08:03,29.15,190,511600,0.01
"210",2018-12-17 12:08:07,29.15,100,511700,0.01
"209",2018-12-17 12:08:20,29.15,5000,516700,0.31
"208",2018-12-17 12:08:29,29.15,110,516810,0.01
"207",2018-12-17 12:08:41,29.1,100,516910,0.01
"206",2018-12-17 12:10:46,29.15,16330,533240,1.02
"205",2018-12-17 12:11:32,29.15,2000,535240,0.12
"204",2018-12-17 12:13:54,29.2,40,535280,0
"203",2018-12-17 12:14:58,29.2,50000,585280,3.12
"202",2018-12-17 12:17:34,29.2,12510,597790,0.78
"201",2018-12-17 12:17:40,29.2,4130,601920,0.26
"200",2018-12-17 12:17:45,29.2,1510,603430,0.09
"199",2018-12-17 12:18:16,29.2,4530,607960,0.28
"198",2018-12-17 12:20:48,29.2,1000,608960,0.06
"197",2018-12-17 12:21:12,29.2,1390,610350,0.09
"196",2018-12-17 12:22:04,29.15,20,610370,0
"195",2018-12-17 12:26:41,29.15,2090,612460,0.13
"194",2018-12-17 12:26:44,29.15,1000,613460,0.06
"193",2018-12-17 12:28:14,29.2,2000,615460,0.12
"192",2018-12-17 14:01:26,29.15,7000,622460,0.44
"191",2018-12-17 14:06:11,29.15,1000,623460,0.06
"190",2018-12-17 14:06:17,29.15,2000,625460,0.12
"189",2018-12-17 14:08:18,29.15,200,625660,0.01
"188",2018-12-17 14:08:49,29.15,500,626160,0.03
"187",2018-12-17 14:09:00,29.15,400,626560,0.02
"186",2018-12-17 14:09:11,29.15,4500,631060,0.28
"185",2018-12-17 14:09:20,29.15,1440,632500,0.09
"184",2018-12-17 14:09:46,29.15,1000,633500,0.06
"183",2018-12-17 14:09:57,29.15,2000,635500,0.12
"182",2018-12-17 14:10:00,29.15,3240,638740,0.2
"181",2018-12-17 14:10:20,29.15,50,638790,0
"180",2018-12-17 14:10:38,29.15,1510,640300,0.09
"179",2018-12-17 14:11:52,29.15,1000,641300,0.06
"178",2018-12-17 14:11:56,29.15,3490,644790,0.22
"177",2018-12-17 14:12:08,29.15,120,644910,0.01
"176",2018-12-17 14:13:00,29.15,4000,648910,0.25
"175",2018-12-17 14:13:08,29.15,1000,649910,0.06
"174",2018-12-17 14:13:22,29.15,1500,651410,0.09
"173",2018-12-17 14:13:43,29.15,700,652110,0.04
"172",2018-12-17 14:13:47,29.15,1000,653110,0.06
"171",2018-12-17 14:14:11,29.15,6000,659110,0.37
"170",2018-12-17 14:14:31,29.15,150,659260,0.01
"169",2018-12-17 14:14:34,29.15,1400,660660,0.09
"168",2018-12-17 14:15:04,29.1,20000,680660,1.25
"167",2018-12-17 14:15:31,29.1,3100,683760,0.19
"166",2018-12-17 14:16:11,29.1,500,684260,0.03
"165",2018-12-17 14:16:45,29.1,7940,692200,0.49
"164",2018-12-17 14:16:48,29.05,870,693070,0.05
"163",2018-12-17 14:17:18,29.05,3000,696070,0.19
"162",2018-12-17 14:17:48,29.1,100,696170,0.01
"161",2018-12-17 14:18:42,29.05,500,696670,0.03
"160",2018-12-17 14:18:46,29.05,1000,697670,0.06
"159",2018-12-17 14:19:31,29.05,2200,699870,0.14
"158",2018-12-17 14:19:47,29.05,50,699920,0
"157",2018-12-17 14:20:10,29.05,10000,709920,0.62
"156",2018-12-17 14:20:41,29.05,3000,712920,0.19
"155",2018-12-17 14:20:42,29.05,100,713020,0.01
"154",2018-12-17 14:21:21,29.05,780,713800,0.05
"153",2018-12-17 14:21:30,29,500,714300,0.03
"152",2018-12-17 14:21:39,29.05,1220,715520,0.08
"151",2018-12-17 14:22:11,29.05,1000,716520,0.06
"150",2018-12-17 14:24:10,29.05,4000,720520,0.25
"149",2018-12-17 14:24:37,29.05,500,721020,0.03
"148",2018-12-17 14:24:51,29.05,1000,722020,0.06
"147",2018-12-17 14:25:03,29.05,11280,733300,0.7
"146",2018-12-17 14:25:12,29.05,80,733380,0
"145",2018-12-17 14:25:43,29,3000,736380,0.19
"144",2018-12-17 14:25:57,29.05,3640,740020,0.23
"143",2018-12-17 14:26:03,29,1960,741980,0.12
